Code;name;PBS2020_sum;PBS en 2020 - estimation (*=oui);PBS2020_mean;PBS moyenne en 2020 - estimation (*=oui);SAU2020_mean;SAU moyenne en 2020 - estimation (*=oui);SAU moyenne : variation absolue 2020-2010;SAU moyenne : variation absolue 2020-2010 - estimation (*=oui);SAU en 2020;SAU en 2020 - estimation (*=oui);Exploitation2020
01229;Malafretaz;789;;98.6;;77.2;;29.2;;617;;8
01230;Mantenay-Montlin;2047;;204.7;;103.9;;29.6;;1039;;10
01231;Manziat;5965;;458.8;;25.3;;6.3;;329;;13
01232;Marboz;3165;;93.1;;60.1;;13.4;;2042;;34
01233;Marchamp;309;;77.3;;57.5;;-13.2;;230;;4
01234;Marignieu;416;;208.2;;14.7;;0.6;;29;;2
01235;Marlieux;1513;;137.5;;83.6;;14.6;;920;;11
01236;Marsonnas;3930;;196.5;;66.2;;-1.7;;1324;;20
01237;Martignat;2;;2.1;;66.8;;34.3;;67;;1
01238;Massieux;140;;46.6;;43.6;;1.8;;131;;3
01239;Massignieu-de-Rives;708;;141.7;;52;;13;;260;;5
01240;Matafelon-Granges;188;;187.6;;149.4;;102.5;;149;;1
01241;Meillonnas;966;;120.7;;111.6;;36;;893;;8
01242;Mérignat;436;;62.3;;5.1;;2;;36;;7
01243;Messimy-sur-Saône;853;;853.5;;287.1;;238.1;;287;;1
01244;Meximieux;140;;23.4;;21.2;;-18.1;;127;;6
01245;Bohas-Meyriat-Rignat;1337;;334.2;;176.9;;125.2;;708;;4
01246;Mézériat;1122;;59.1;;35.9;;-3.4;;681;;19
01247;Mijoux;20;;20.4;;64;;54;;64;;1
01248;Mionnay;2971;;185.7;;98.6;;26.7;;1578;;16
01249;Miribel;11376;;541.7;;84;;32.1;;1765;;21
01250;Misérieux;863;;143.9;;77.8;;42.2;;467;;6
01252;Mogneneins;448;;56;;60.2;;14;;482;;8
01254;Montagnat;786;;196.4;;83.4;;25.6;;334;;4
01255;Montagnieu;247;;61.7;;18.5;;14.9;;74;;4
01257;Montanges;324;;107.9;;129.2;;58.7;;387;;3
01258;Montceaux;699;;77.6;;90.6;;20.9;;815;;9
01259;Montcet;886;;147.6;;77.1;;35.4;*;462;;6
01260;Le Montellier;1374;;137.4;;106;;38.4;;1060;;10
01261;Monthieux;403;;80.7;;66.7;;23.4;;333;;5
01262;Montluel;4595;;183.8;;101.5;;30;;2538;;25
01263;Montmerle-sur-Saône;469;;468.7;;16.1;;14;;16;;1
01264;Montracol;3936;;393.6;;79;;26.7;;790;;10
01265;Montréal-la-Cluse;145;;145.4;;196.5;;1.5;;197;;1
01266;Montrevel-en-Bresse;1115;;79.6;;52.6;;7.2;;736;;14
01267;Nurieux-Volognat;672;;134.4;;143.4;;24.8;;717;;5
01268;Murs-et-Gélignieux;2327;;1163.4;;55.3;;21.6;;111;;2
01269;Nantua;0;;N/A;;N/A;;N/A;;0;;0
01272;Neuville-les-Dames;2783;;116;;66.5;;14.7;;1595;;24
01273;Neuville-sur-Ain;1106;;122.9;;79.1;;11.9;;712;;9
01274;Les Neyrolles;9;;9.5;;42.2;;N/A;;42;;1
01275;Neyron;231;;231.3;;150.7;;79.8;;151;;1
01276;Niévroz;544;;90.6;;81.1;;-22;;486;;6
01277;Nivollet-Montgriffon;425;;141.7;;112.9;;49.1;;339;;3
01279;Oncieu;98;;49.2;;70.6;;-1.2;;141;;2
01280;Ordonnaz;792;;132;;89.3;;10.8;;536;;6
01281;Ornex;300;;149.8;;115.4;;27.9;;231;;2
01282;Outriaz;110;;109.5;;142.6;;34.9;;143;;1
01283;Oyonnax;753;;107.6;;83.8;;2.8;;586;;7
01284;Ozan;3129;;521.4;;73;;43.3;;438;;6
01285;Parcieux;333;;110.9;;81;;38.6;;243;;3
01286;Parves et Nattages;789;;78.9;;58.1;;16.6;;581;;10
01288;Péron;1049;;104.9;;81.1;;21.7;;811;;10
01289;Péronnas;619;;154.8;;137.1;;6.1;;548;;4
01290;Pérouges;1361;;80.1;;77.5;;33.5;;1317;;17
01291;Perrex;1006;;111.8;;72;;4;;648;;9
01293;Peyriat;251;;62.7;;71.9;;14.6;;288;;4
01294;Peyrieu;984;;70.3;;48.3;;11.4;;676;;14
01295;Peyzieux-sur-Saône;1216;;152;;103.8;;19.2;;830;;8
01296;Pirajoux;1325;;132.5;;85.2;;8.1;;852;;10
01297;Pizay;578;;144.5;;123.6;;33.9;;494;;4
01298;Plagne;66;;32.8;;118.2;;-4.3;;236;;2
01299;Le Plantay;2680;;134;;70;;18.5;;1400;;20
01301;Polliat;3579;;223.7;;60.4;;-2.1;;966;;16
01302;Pollieu;3;;2.6;;3.6;;3;;4;;1
01303;Poncin;1228;;111.6;;50.5;;23.4;;556;;11
01304;Pont-d'Ain;393;;131;;98.3;;59.8;;295;;3
01305;Pont-de-Vaux;125;;62.7;;59.7;;-37.3;;119;;2
01306;Pont-de-Veyle;720;;240;;76.1;;27.3;;228;;3
01307;Port;0;;N/A;;N/A;;N/A;;0;;0
01308;Pougny;80;;79.7;;119.9;;33.9;;120;;1
01309;Pouillat;345;;172.3;;105.5;;73.1;;211;;2
01310;Prémeyzel;342;;113.9;;55.5;;-20.4;;167;;3
01311;Prémillieu;76;;75.9;;194.3;;2.3;;194;;1
01313;Prévessin-Moëns;605;;151.2;;103.3;;24;*;413;;4
01314;Priay;798;;265.8;;162.1;;92.2;;486;;3
01317;Ramasse;29;;29.5;;89;;83.6;;89;;1
01318;Rancé;1744;;218;;68.7;;2.1;;550;;8
01319;Relevant;1335;;133.5;;79.9;;6.7;;799;;10
01320;Replonges;313;;34.8;;59.4;;25.4;;535;;9
01321;Revonnas;214;;71.5;;145.8;;7;;437;;3
01322;Reyrieux;1293;;129.3;;70;;11.9;;700;;10
01323;Reyssouze;763;;95.4;;72.1;;-21.6;;577;;8
01325;Rignieux-le-Franc;3443;;286.9;;96.7;;34.5;;1161;;12
01328;Romans;3393;;154.2;;93;;24.5;;2047;;22
01329;Rossillon;0;;N/A;;N/A;;N/A;;0;;0
01330;Ruffieu;75;;24.9;;56.7;;-18.7;;170;;3
01331;Saint-Alban;586;;97.7;;47.1;;8.1;;283;;6
01332;Saint-André-de-Bâgé;46;;45.6;;14.3;;2.9;;14;;1
01333;Saint-André-de-Corcy;1699;;169.9;;92.4;;30.2;;924;;10
01334;Saint-André-d'Huiriat;1260;;114.5;;47.8;;-3.2;;526;;11
01335;Saint-André-le-Bouchoux;887;;126.7;;41.7;;-15.9;;292;;7
01336;Saint-André-sur-Vieux-Jonc;4258;;193.6;;81;;13.9;;1783;;22
01337;Saint-Bénigne;2770;;213.1;;114.3;;52;;1486;;13
01338;Groslée-Saint-Benoit;1514;;68.8;;33;;9.4;;725;;22
01339;Saint-Bernard;87;;43.6;;5.5;;-59;;11;;2
01342;Sainte-Croix;1633;;116.7;;74.2;;-8.5;;1038;;14
01343;Saint-Cyr-sur-Menthon;3427;;244.8;;101.8;;35.1;;1425;;14
01344;Saint-Denis-lès-Bourg;1888;;157.3;;64.2;;12.3;;771;;12
01345;Saint-Denis-en-Bugey;0;;N/A;;N/A;;N/A;;0;;0
01346;Saint-Didier-d'Aussiat;1792;;162.9;;89.7;;30.1;;987;;11
01347;Saint-Didier-de-Formans;1370;*;195.7;*;71.7;*;26.7;*;502;*;7
01348;Saint-Didier-sur-Chalaronne;2889;;131.3;;58.4;;6.1;;1284;;22
01349;Saint-Éloi;1034;;147.6;;117.4;;52;;822;;7
01350;Saint-Étienne-du-Bois;3187;;118;;61.5;;15.9;;1660;;27
01351;Saint-Étienne-sur-Chalaronne;1800;;81.8;;59.9;;2;;1318;;22
01352;Saint-Étienne-sur-Reyssouze;708;;88.6;;76.5;;44.4;;612;;8
01353;Sainte-Euphémie;227;;75.6;;68;;24.9;;204;;3
01354;Saint-Genis-Pouilly;177;;44.2;;57.3;;-30.4;;229;;4
01355;Saint-Genis-sur-Menthon;603;;67;;48.6;;-10.4;;437;;9
01356;Saint-Georges-sur-Renon;32;;32.4;;44.9;;-12.3;;45;;1
01357;Saint-Germain-de-Joux;0;;N/A;;N/A;;N/A;;0;;0
01358;Saint-Germain-les-Paroisses;360;;180.2;;229.1;;149.1;;458;;2
01359;Saint-Germain-sur-Renon;1260;;114.5;;60.7;;-22.3;;668;;11
01360;Saint-Jean-de-Gonville;455;;113.6;;113.6;;41.5;;454;;4
01361;Saint-Jean-de-Niost;906;;100.6;;96.9;;40.8;;872;;9
01362;Saint-Jean-de-Thurigneux;1327;;94.8;;75.8;;16.8;;1061;;14
01363;Saint-Jean-le-Vieux;567;;141.7;;160.8;;82.5;;643;;4
01364;Saint-Jean-sur-Reyssouze;5025;;173.3;;69.4;;9.4;;2012;;29
01365;Saint-Jean-sur-Veyle;1890;;111.2;;49.7;;4.6;;845;;17
01366;Sainte-Julie;863;;215.8;;134.7;;63.2;;539;;4
01367;Saint-Julien-sur-Reyssouze;1969;;281.3;;107.8;;12.5;;754;;7
01368;Saint-Julien-sur-Veyle;763;;76.3;;37.4;;10.1;;374;;10
01369;Saint-Just;717;;119.6;;60.1;;12.4;;360;;6
01370;Saint-Laurent-sur-Saône;0;;N/A;;N/A;;N/A;;0;;0
01371;Saint-Marcel;1158;;105.3;;62.9;;26.7;;691;;11
01372;Saint-Martin-de-Bavel;582;;145.4;;150.5;;10.2;;602;;4
01373;Saint-Martin-du-Frêne;745;;248.3;;168.2;;66.2;;505;;3
01374;Saint-Martin-du-Mont;3150;;136.9;;64.3;;15.6;;1478;;23
01375;Saint-Martin-le-Châtel;1792;;112;;71.1;;-2.9;;1137;;16
01376;Saint-Maurice-de-Beynost;280;;69.9;;74.2;;-10.7;;297;;4
01378;Saint-Maurice-de-Gourdans;1493;;124.4;;95.9;;22.7;;1151;;12
01379;Saint-Maurice-de-Rémens;954;;159;;155.3;;73.1;;932;;6
01380;Saint-Nizier-le-Bouchoux;4669;;161;;69.5;;9.4;;2015;;29
01381;Saint-Nizier-le-Désert;1313;;87.5;;73.4;;6.2;;1100;;15
01382;Sainte-Olive;652;;81.5;;46.5;;-5.8;;372;;8
01383;Saint-Paul-de-Varax;4119;;228.9;;88.1;;3.2;;1586;;18
01384;Saint-Rambert-en-Bugey;269;;29.9;;54.2;;-19;;487;;9
01385;Saint-Rémy;456;;91.2;;73.9;;4.1;;369;;5
01386;Saint-Sorlin-en-Bugey;328;;82;;26.7;;-13.1;;107;;4
01387;Saint-Sulpice;0;;N/A;;N/A;;N/A;;0;;0
01388;Saint-Trivier-de-Courtes;3478;;248.4;;108.6;;34.8;;1520;;14
01389;Saint-Trivier-sur-Moignans;6717;;186.6;;85.6;;3.1;;3083;;36
01390;Saint-Vulbas;733;;122.2;;120.2;;26.7;;721;;6
01391;Salavre;80;;19.9;;13.3;;-32.3;;53;;4
01392;Samognat;0;;N/A;;N/A;;N/A;;0;;0
01393;Sandrans;1759;;125.7;;97.5;;48.9;;1365;;14
01396;Sault-Brénaz;0;;N/A;;N/A;;N/A;;0;;0
01397;Sauverny;0;;0.4;;12.4;;-30.1;;12;;1
01398;Savigneux;1223;;55.6;;44.8;;4.9;;985;;22
01399;Ségny;355;;177.3;;134.8;;8;;270;;2
01400;Seillonnaz;482;;80.3;;29.6;;-2.6;;177;;6
01401;Sergy;228;;45.6;;45.3;;-0.5;*;226;;5
